genes,in_group_fraction,out_group_fraction,in_out_group_ratio,in_group_mean_exp,out_group_mean_exp,fold_change,pvals_adj,target_domain,neighbors
ELMOD1,0.9335106382978723,0.6652173913043479,1.4033166458072588,1.3596094846725464,0.6776366829872131,1.9777755737304688,0.00016025399714635416,1,[8]
MT2,0.9627659574468085,0.7695652173913043,1.251051809111672,1.688336730003357,0.94713294506073,2.0984601974487305,0.0001695592209311722,1,[8]
GNG5,0.898936170212766,0.5956521739130435,1.5091629134958844,1.2871248722076416,0.6142547726631165,1.959854245185852,0.0001912804294566151,1,[8]
GRIA4,0.9601063829787234,0.8304347826086956,1.1561490475660021,1.5103570222854614,0.9266026616096497,1.79275643825531,0.00022524308756248788,1,[8]
PPP1R14B,0.8164893617021277,0.45652173913043476,1.7885005065856132,0.9880332350730896,0.3821864128112793,1.8328036069869995,0.000230042704085214,1,[8]
TRIM9,0.9654255319148937,0.8347826086956521,1.156499335106383,1.6324656009674072,0.9706759452819824,1.9382580518722534,0.00026090036091878477,1,[8]
VDAC1,0.9920212765957447,0.908695652173913,1.0916980555838338,1.8393956422805786,1.2259703874588013,1.8467460870742798,0.00028790283640248523,1,[8]
ATP2A3,0.851063829787234,0.5217391304347826,1.6312056737588654,1.2735588550567627,0.5175814628601074,2.1296920776367188,0.0003484686597290226,1,[8]
NDUFB6,0.9867021276595744,0.8869565217391304,1.1124582811848143,1.7663114070892334,1.1708141565322876,1.8139326572418213,0.00035967106027237145,1,[8]
NTSR2,0.8670212765957447,0.5173913043478261,1.6757554085463973,1.1135053634643555,0.49051132798194885,1.864502191543579,0.00036065530163690825,1,[8]
MPC2,0.9867021276595744,0.908695652173913,1.0858444467067088,1.8408364057540894,1.2206748723983765,1.859228253364563,0.00036278913950115143,1,[8]
FAM107B,0.8377659574468085,0.5347826086956522,1.5665542293720809,1.227452278137207,0.49587488174438477,2.0783565044403076,0.00037884003512503306,1,[8]
CHPT1,0.8164893617021277,0.43043478260869567,1.8968944766817109,0.9242907166481018,0.363468736410141,1.7521121501922607,0.0005041808646307374,1,[8]
ATL2,0.8617021276595744,0.5782608695652174,1.4901615741481362,1.2438105344772339,0.548343300819397,2.004645347595215,0.0005088859279233434,1,[8]
LAPTM4A,0.925531914893617,0.6826086956521739,1.355874779780458,1.3420841693878174,0.7223605513572693,1.8584142923355103,0.0005486243185643224,1,[8]
PLEKHB2,0.9388297872340425,0.7086956521739131,1.3247291476308576,1.3280154466629028,0.7564073204994202,1.7711129188537598,0.0005661871103067571,1,[8]
CALR,0.976063829787234,0.8565217391304348,1.1395669078734203,1.7230658531188965,1.122438669204712,1.8232619762420654,0.0006043942925141963,1,[8]
RELL2,0.9069148936170213,0.6173913043478261,1.468946658675457,1.1246339082717896,0.5752890110015869,1.732118010520935,0.0006422768531767388,1,[8]
WSB2,0.9654255319148937,0.7347826086956522,1.313892735742163,1.4466973543167114,0.8346811532974243,1.8441458940505981,0.0006895379793723913,1,[8]
OSBPL1A,0.8962765957446809,0.6608695652173913,1.356208006718925,1.2425153255462646,0.65093594789505,1.806839942932129,0.0006998642562935626,1,[8]
ZFP385A,0.8218085106382979,0.5304347826086957,1.5493111266131843,1.031467318534851,0.4488760530948639,1.7906725406646729,0.0007652348817728637,1,[8]
ATOX1,0.9654255319148937,0.8521739130434782,1.132897307859314,1.5695288181304932,1.0162678956985474,1.7389143705368042,0.0008271173698270426,1,[8]
S1PR1,0.800531914893617,0.4260869565217391,1.8787993920972643,1.035003423690796,0.3915080428123474,1.9031215906143188,0.0008509363343035459,1,[8]
HTRA1,0.9228723404255319,0.6652173913043479,1.387324433319427,1.3938506841659546,0.729865550994873,1.9425179958343506,0.000864046484476276,1,[8]
GABBR2,0.8776595744680851,0.5782608695652174,1.5177571588545833,1.2532492876052856,0.5723437666893005,1.9756660461425781,0.0008725957416385207,1,[8]
NDUFS8,0.9840425531914894,0.8173913043478261,1.203881846989588,1.5371989011764526,0.9725736379623413,1.7587885856628418,0.0011818718611049887,1,[8]
ABR,0.8696808510638298,0.6260869565217392,1.3890735815602835,1.14792799949646,0.568232536315918,1.7854946851730347,0.0012585663075870648,1,[8]
SELENOS,0.8696808510638298,0.591304347826087,1.4707837922403002,1.1948953866958618,0.5657898783683777,1.875931739807129,0.001390157160280491,1,[8]
TSPAN13,0.8643617021276596,0.5652173913043478,1.5292553191489364,1.1805943250656128,0.5596939921379089,1.8606024980545044,0.0014206459661278827,1,[8]
ERP29,0.9202127659574468,0.7391304347826086,1.2449937421777222,1.4162931442260742,0.7842691540718079,1.881414771080017,0.0014611302745407828,1,[8]
RIDA,0.8271276595744681,0.5173913043478261,1.5986500983372072,1.0036332607269287,0.4412632882595062,1.7548264265060425,0.0014788957876360784,1,[8]
NEFM,0.8377659574468085,0.5217391304347826,1.605718085106383,1.029384970664978,0.46111318469047546,1.7652137279510498,0.0018298242216685495,1,[8]
LPGAT1,0.8962765957446809,0.6739130434782609,1.329958819492107,1.2878823280334473,0.6649463176727295,1.8643940687179565,0.0018707152835296973,1,[8]
H2-D1,0.9680851063829787,0.8217391304347826,1.178092986603625,1.6132376194000244,0.983585774898529,1.8769570589065552,0.002075649404943253,1,[8]
1810037I17RIK,0.9654255319148937,0.7695652173913043,1.2545077533357376,1.5218709707260132,0.920454740524292,1.8247010707855225,0.002227529668308091,1,[8]
SUB1,0.9547872340425532,0.7739130434782608,1.2337138417403777,1.4406360387802124,0.8737112283706665,1.7628376483917236,0.002424419978892557,1,[8]
ELMO1,0.8962765957446809,0.6521739130434783,1.374290780141844,1.1978135108947754,0.6394374966621399,1.7478317022323608,0.002443754226593445,1,[8]
PLTP,0.8164893617021277,0.4956521739130435,1.6473030981709593,1.0042330026626587,0.4397318959236145,1.7585703134536743,0.002649111076267014,1,[8]
KCNA2,0.9308510638297872,0.7521739130434782,1.2375476571147461,1.317798137664795,0.7790884971618652,1.7137938737869263,0.002769067654401973,1,[8]
ABHD17A,0.9441489361702128,0.7695652173913043,1.2268601995432145,1.324830174446106,0.8044928908348083,1.682595133781433,0.003398888666247478,1,[8]
SOD1,0.9680851063829787,0.7521739130434782,1.287049563399336,1.4505077600479126,0.8915339112281799,1.7488768100738525,0.003403938453877917,1,[8]
CYSTM1,0.9654255319148937,0.8217391304347826,1.1748564674096589,1.662933349609375,0.9985436797142029,1.9433039426803589,0.003983501987114454,1,[8]
GABARAPL1,0.973404255319149,0.8260869565217391,1.1783314669652856,1.5332136154174805,0.9801936745643616,1.7384952306747437,0.0044210769049686915,1,[8]
ASRGL1,0.9175531914893617,0.7043478260869566,1.3026989755713159,1.2269357442855835,0.7073743343353271,1.6812900304794312,0.0044210769049686915,1,[8]
FAM69B,0.9069148936170213,0.717391304347826,1.2641843971631206,1.3168368339538574,0.718454122543335,1.8191741704940796,0.004520147195064919,1,[8]
FRRS1L,0.949468085106383,0.7478260869565218,1.2696375556655122,1.4689401388168335,0.8751839995384216,1.8107773065567017,0.004597944456028835,1,[8]
OST4,0.9361702127659575,0.7521739130434782,1.2446193580125446,1.3114410638809204,0.7884938716888428,1.6869922876358032,0.00489819198201488,1,[8]
RHEB,0.9414893617021277,0.7565217391304347,1.2444974321349964,1.4243789911270142,0.8531518578529358,1.770438313484192,0.005191939315934794,1,[8]
